Title,Genre,Language,Release Date,Country,Budget (M USD),Lifetime Gross (M USD),Number of Screens,IMDb Rating,Rotten Tomatoes Score,Audience Reviews,Marketing Budget (M USD),Hit or Flop
Paranormal Activity 2a,Sci-Fi,Chinese,43888,USA,237.29,1412.36,3742,7.2,26,431914,92.31,Hit
Little Womena,Thriller,Telugu,42840,South Korea,188.2,1348.97,4852,8,36,65581,33.2,Hit
Pana,Action,German,42860,India,160.41,1324.88,2029,4.9,57,41436,78.14,One time watchable
Middle of Nowherea,Thriller,Korean,45032,India,125.56,1298.27,1855,8.2,37,216712,48.53,Hit
Swordfisha,Comedy,Chinese,45089,USA,75.56,1281.15,745,7.7,24,410509,8.09,Hit
Quarantinea,Sci-Fi,French,45033,UK,278.52,1260.31,2857,7.7,35,113123,62.12,Hit
Rush Hour 2a,Drama,German,41575,Germany,180.77,1224.31,2999,7.2,47,300749,48.97,Hit
Rushmorea,Horror,Spanish,43897,Japan,151.31,1218.52,3961,9.9,74,291345,60.86,Hit
The Proposala,Adventure,English,42705,South Korea,229.33,1204.61,2770,7.8,43,378298,104.46,Hit
Crooklyna,Adventure,English,41998,France,216.71,1201.19,2436,5.2,95,188595,94.52,Average
RocknRollaa,Romance,Spanish,45157,India,56.36,1200.44,4317,6.3,94,332385,10.17,Average
"Remember Me, My Lovea",Horror,English,43451,Germany,50.12,1198.05,4298,5.3,65,471218,15.92,Average
Sunshine Statea,Drama,German,44985,South Korea,196.43,1186.08,1748,5.4,81,200445,69.28,Average
Savagesa,Action,Korean,40892,France,98.31,1169.99,3163,9.4,24,235661,40.39,Hit
The Story of Usa,Action,German,44684,Japan,229.46,1160.96,2701,8,55,229264,71.36,Hit
The Real Cancuna,Horror,English,41412,Japan,58.31,1153.25,978,5,53,390858,27.05,One time watchable
X-Men Origins: Wolverinea,Adventure,Japanese,40583,Germany,50.03,1140.18,3021,8.6,54,19574,10.34,Hit
Hitmana,Comedy,Hindi,41883,India,169.73,1134.57,2998,8.7,93,239877,21.53,Hit
50/50a,Sci-Fi,German,41816,France,33.85,1134.09,4086,6.1,38,408264,15.04,Average
Love & Basketballa,Romance,English,42027,Japan,252.54,1126.16,1727,9.8,70,425999,56.27,Hit
